#Wavelength,Intensity
#nm,
506.3,1837.24667777778
506.51,1873.96674444444
506.72,1916.10973055555
506.92,1893.89134761905
507.13,1930.38470793651
507.34,1911.62350317461
507.55,1909.41106666667
507.76,1901.64527055556
507.96,1869.93042380952
508.17,1867.21388730159
508.38,1909.33368412699
508.59,1920.02287301587
508.8,1954.020635
509,1967.90133333333
509.21,1907.69531746032
509.42,1870.89998571429
509.63,1908.44463650794
509.84,1920.61244388889
510.04,1897.78520952381
510.25,1839.12133809524
510.46,1850.61998888889
510.67,1873.41953444444
510.87,1897.91859047618
511.08,1996.07164761905
511.29,1968.86263333333
511.5,1923.49062539682
511.71,1898.81407388889
511.91,1903.60577142857
512.12,1869.3166015873
512.33,1892.48233650793
512.54,1889.19419611112
512.74,1922.20333809523
512.95,1908.23755873016
513.16,1886.34580000001
513.37,1895.21029833333
513.57,1932.98001428571
513.78,1935.00786825399
513.99,1936.58600158729
514.2,1958.02488722222
514.4,1947.99177619049
514.61,1878.75606507937
514.82,1891.83897936508
515.03,1878.78006507937
515.24,1929.68506666665
515.44,1872.87984285715
515.65,1892.80926507936
515.86,1912.65165111111
516.06,1911.17641904763
516.27,1863.08261587302
516.48,1904.26123492063
516.69,1943.60346055554
516.89,1987.71283333333
517.1,1960.88955079365
517.31,1892.09222380953
517.52,1933.56826166666
517.72,1937.16645714285
517.93,1945.91523650793
518.14,1968.99765238095
518.35,1959.45404777779
518.55,1978.31299047619
518.76,1933.66036984127
518.97,1937.23183722223
519.17,1975.74295238096
519.38,1972.98149682539
519.59,1978.7728190476
519.8,1898.9274588889
520,1966.00948095237
520.21,1951.75793333335
520.42,1935.24855777778
520.62,1955.66040952381
520.83,1977.43864603175
521.04,2039.50099841269
521.25,1999.53506444444
521.45,1999.01569999999
521.66,2013.86312063493
521.87,1957.9519788889
522.07,2004.39629047619
522.28,2016.83591746032
522.49,1988.70287111112
522.69,1943.78027142857
522.9,1998.64736031745
523.11,1983.33913968254
523.32,2040.58756722222
523.52,1974.14101904763
523.73,1913.69533650795
523.94,2009.18422722222
524.14,1982.88403809524
524.35,2029.34126031747
524.56,2070.0501661111
524.76,2070.98353809524
524.97,2041.84934761905
525.18,1993.22499333334
525.38,2003.55420952381
525.59,2051.64156190477
525.8,2094.72363888889
526,2044.92807142857
526.21,2000.80963650794
526.42,2045.03668555555
526.62,2097.73808571428
526.83,2063.15634285713
527.04,2043.39939388889
527.24,2096.96115714285
527.45,2111.99404761904
527.66,2065.89018444446
527.86,2077.52848095238
528.07,2071.49660634922
528.28,2135.81735555555
528.48,2102.47959047617
528.69,2085.24817936508
528.9,2150.31818388889
529.1,2091.04515714286
529.31,2080.67337936507
529.52,2196.60761333332
529.72,2219.99622857143
529.93,2207.39155555555
530.14,2113.83051555557
530.34,2077.25946190478
530.55,2121.83355833332
530.75,2153.52052380952
530.96,2140.1760936508
531.17,2133.85835722222
531.37,2172.23665714286
531.58,2087.22586507937
531.79,2098.18418944446
531.99,2166.83962857141
532.2,2158.99417555555
532.4,2174.30691904762
532.61,2190.50603015873
532.82,2193.15255444443
533.02,2137.23645238097
533.23,2136.98587301588
533.44,2209.00910111109
533.64,2226.15953333334
533.85,2157.54891166667
534.05,2211.73333333332
534.26,2257.17965238095
534.47,2173.08003277779
534.67,2198.12253809523
534.88,2217.35126666666
535.08,2189.70163333333
535.29,2216.16045079365
535.5,2205.14129499999
535.7,2280.86604285713
535.91,2250.1840288889
536.11,2251.61760952381
536.32,2218.22353174604
536.53,2197.43108
536.73,2222.79600952381
536.94,2161.22423944446
537.14,2154.85898095238
537.35,2156.3136126984
537.56,2190.77919999999
537.76,2183.62750476191
537.97,2206.1809988889
538.17,2312.88823333331
538.38,2304.23106984127
538.59,2318.15874166667
538.79,2267.56460476191
539,2266.56228777777
539.2,2250.95061904762
539.41,2219.44915055557
539.61,2224.1518095238
539.82,2208.60933174604
540.03,2236.44602722221
540.23,2248.31014761904
540.44,2194.97738500001
540.64,2187.37280952381
540.85,2212.37905944445
541.05,2235.3913047619
541.26,2237.15166833333
541.46,2297.82453333333
541.67,2291.19303015874
541.88,2254.19774722222
542.08,2266.93779523809
542.29,2255.44980388892
542.49,2165.13207142857
542.7,2251.91533777777
542.9,2269.15363333334
543.11,2291.43673555556
543.31,2326.89110952382
543.52,2273.88164722222
543.72,2273.74302380951
543.93,2254.73432222223
544.14,2263.99810055555
544.34,2259.92406190476
544.55,2289.71708944444
544.75,2322.24407619047
544.96,2306.09160222223
545.16,2335.65053809523
545.37,2273.61305666667
545.57,2271.68631904761
545.78,2284.79543222222
545.98,2289.73786666666
546.19,2308.33133666667
546.39,2280.27817142858
546.6,2285.70575000001
546.8,2331.46271904761
547.01,2344.90473444444
547.21,2358.19147619045
547.42,2283.35154722222
547.62,2319.84468571429
547.83,2246.47655055555
548.03,2237.09082380953
548.24,2366.85322555555
548.44,2349.05688571429
548.65,2338.03119777777
548.85,2252.82315714285
549.06,2265.01574499999
549.26,2315.43027619047
549.47,2362.97517055554
549.67,2294.1726
549.88,2323.06033611111
550.08,2292.7671
550.29,2249.35468777776
550.49,2304.43688095238
550.7,2344.78781722223
550.9,2367.36501904761
551.11,2346.2315611111
551.31,2312.39280476191
551.52,2309.93045777778
551.72,2300.48918571428
551.93,2269.26493388889
552.13,2290.34965714286
552.34,2261.20301277779
552.54,2339.14069523808
552.75,2352.71938222222
552.95,2305.74306666666
553.16,2261.73100388888
553.36,2296.99683809524
553.57,2334.72221
553.77,2339.17517619047
553.98,2345.96099611112
554.18,2311.24809833333
554.38,2309.43013333334
554.59,2291.5936788889
554.79,2347.78523809522
555,2301.22613611112
555.2,2317.43756666666
555.41,2315.34133555555
555.61,2335.27428095238
555.82,2393.94728833332
556.02,2327.01882380955
556.23,2329.11501277777
556.43,2338.20655666667
556.63,2323.89186666666
556.84,2253.41465555555
557.04,2272.57041904762
557.25,2284.1333511111
557.45,2285.28673809523
557.66,2215.72427055556
557.86,2310.01459523809
558.07,2231.61856166666
558.27,2216.85735833333
558.47,2267.02533333334
558.68,2276.60577555556
558.88,2249.69852857143
559.09,2212.57421444445
559.29,2248.29989523809
559.5,2240.92465111112
559.7,2186.85164333334
559.9,2232.5433095238
560.11,2205.03436611112
560.31,2273.80379523807
560.52,2240.60331333334
560.72,2270.87933166667
560.92,2283.84381904761
561.13,2225.11371777779
561.33,2168.53297142858
561.54,2179.74962444445
561.74,2198.31764
561.94,2207.97777142857
562.15,2228.02711944444
562.35,2239.75062380952
562.56,2268.19388222222
562.76,2191.63106833334
562.96,2211.13765714286
563.17,2244.607935
563.37,2183.05056666667
563.58,2202.94979666667
563.78,2228.30971166666
563.98,2214.5823952381
564.19,2206.53475333335
564.39,2212.73018095238
564.6,2242.52853777777
564.8,2232.42502333333
565,2247.04772380952
565.21,2221.16117999999
565.41,2228.895495
565.61,2155.06463809524
565.82,2199.72833777778
566.02,2125.98141428573
566.23,2138.80645833333
566.43,2118.77058666667
566.63,2175.11225238094
566.84,2221.52029555555
567.04,2151.69588833334
567.24,2131.03966190476
567.45,2139.07009333333
567.65,2177.72938571428
567.86,2191.34809
568.06,2106.82980333335
568.26,2114.65565238095
568.47,2136.95618277778
568.67,2099.76268166669
568.87,2083.56503333332
569.08,2103.21022333333
569.28,2100.78308000001
569.48,2111.67166666666
569.69,2121.17139166666
569.89,2096.32911000001
570.09,2096.76531904763
570.3,2129.1102161111
570.5,2150.25780333334
570.7,2111.7359904762
570.91,2102.05760611111
571.11,2081.83031166667
571.31,2062.60943809524
571.52,2075.47322277778
571.72,2120.65459166666
571.92,2178.53809523809
572.13,2103.98573055557
572.33,2062.71106333334
572.53,2059.48562857144
572.74,2078.61770444445
572.94,1998.47442333335
573.14,2011.7242095238
573.35,2030.53648555556
573.55,2050.81166499999
573.75,2059.89047619047
573.96,2059.2969638889
574.16,2061.813495
574.36,1997.31874285715
574.57,1974.80594722223
574.77,2041.74528833332
574.97,2081.91810833331
575.17,2037.02000476191
575.38,2115.35342
575.58,2069.47046333333
575.78,2074.65455714286
575.99,2020.72120833334
576.19,2051.02626999999
576.39,2078.99147142857
576.6,2032.98237833333
576.8,2067.33189333332
577,2053.154625
577.2,2007.30565714287
577.41,2037.79911388889
577.61,2008.12273500001
577.81,2017.70972380953
578.02,2015.56276222222
578.22,2028.46189833334
